board_position,player_white,voc,move_time,elo,n_candidates,ply
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R1K2,True,0.0,1,2039,1,0
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R2K1,False,0.0,3,2030,5,0
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R2K1,True,0.0,1,2039,2,0
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R1K2,False,0.0,3,2030,5,0
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R1K2,True,0.0,1,2039,1,0
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R2K1,False,0.0,2,2030,5,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,True,0.007999999999999993,,2083,5,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,False,0.0,,2113,5,0
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,True,0.0,2,2083,5,0
rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R,False,0.195,0,2113,5,0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R,True,0.0,1,2083,5,0
rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PPPP1PPP/RNBQKB1R,False,0.0,1,2113,5,0
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R,True,0.0,1,2083,5,0
rnbqkbnr/pp2pppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,False,0.061,1,2113,5,0
r1bqkbnr/pp2pppp/2n5/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,True,0.099,1,2083,5,0
r1bqkbnr/pp2pppp/2n5/3p4/2PP4/5N2/PP3PPP/RNBQKB1R,False,0.0,0,2113,5,0
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/5N2/PP3PPP/RNBQKB1R,True,0.062,1,2083,5,0
