board_position,player_white,voc,move_time,elo,n_candidates,ply
4b3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/5PPP/3B2K1,False,0.0,0.0,2113,5,46
8/ppb1k3/2n1pp2/2P2p1b/1P6/P4N2/5PPP/3B2K1,True,0.0,18.0,2083,5,47
8/ppb1k3/2n1pp2/1PP2p1b/8/P4N2/5PPP/3B2K1,False,0.0,5.0,2113,5,48
8/ppb1k3/4pp2/1PP1np1b/8/P4N2/5PPP/3B2K1,True,0.0,1.0,2083,5,49
8/ppb1k3/4pp2/1PP1Np1b/8/P7/5PPP/3B2K1,False,0.0,3.0,2113,5,50
8/ppb1k3/4pp2/1PP1Np2/8/P7/5PPP/3b2K1,True,0.0,23.0,2083,5,51
8/ppb1k3/4pp2/1PP2p2/8/P4N2/5PPP/3b2K1,False,0.0,2.0,2113,5,52
8/ppb1k3/4pp2/1PP2p2/8/P4b2/5PPP/6K1,True,0.0,1.0,2083,5,53
8/ppb1k3/4pp2/1PP2p2/8/P4P2/5P1P/6K1,False,0.0,3.0,2113,5,54
8/p1b1k3/1p2pp2/1PP2p2/8/P4P2/5P1P/6K1,True,0.0,1.0,2083,5,55
8/p1b1k3/1P2pp2/1P3p2/8/P4P2/5P1P/6K1,False,0.0,1.0,2113,5,56
8/p3k3/1b2pp2/1P3p2/8/P4P2/5P1P/6K1,True,0.0,3.0,2083,5,57
8/p3k3/1b2pp2/1P3p2/P7/5P2/5P1P/6K1,False,0.0,2.0,2113,5,58
8/p3k3/1b3p2/1P2pp2/P7/5P2/5P1P/6K1,True,0.0,1.0,2083,5,59
8/p3k3/1b3p2/1P2pp2/P7/5P2/5PKP/8,False,0.0,1.0,2113,5,60
8/p4k2/1b3p2/1P2pp2/P7/5P2/5PKP/8,True,0.0,4.0,2083,5,61
8/p4k2/1b3p2/1P2pp2/P7/5PK1/5P1P/8,False,0.0,1.0,2113,5,62
8/p7/1b3pk1/1P2pp2/P7/5PK1/5P1P/8,True,0.0,5.0,2083,5,63
8/p7/1b3pk1/1P2pp2/P6P/5PK1/5P2/8,False,0.0,2.0,2113,5,64
8/p7/1b3p2/1P2pp1k/P6P/5PK1/5P2/8,True,0.0,1.0,2083,5,65
8/p7/1b3p2/1P2pp1k/P4P1P/6K1/5P2/8,False,0.0,5.0,2113,5,66
8/p7/1b3p2/1P3p1k/P3pP1P/6K1/5P2/8,True,0.0,18.0,2083,5,67
8/p7/1b3p2/1P3p1k/P3pP1P/5PK1/8/8,False,0.0,12.0,2113,5,68
8/p7/5p2/bP3p1k/P3pP1P/5PK1/8/8,True,0.0,2.0,2083,5,69
8/p7/5p2/bP3p1k/P3PP1P/6K1/8/8,False,0.0,1.0,2113,5,70
8/p7/5p2/bP5k/P3pP1P/6K1/8/8,True,0.0,1.0,2083,5,71
8/p7/5p2/bP3P1k/P3p2P/6K1/8/8,False,0.0,6.0,2113,5,72
8/p1b5/5p2/1P3P1k/P3p2P/6K1/8/8,True,0.0,4.0,2083,3,73
8/p1b5/5p2/1P3P1k/P3p2P/8/5K2/8,False,0.0,2.0,2113,5,74
8/p1b5/5p2/1P3P2/P3p2k/8/5K2/8,True,0.0,0.0,2083,5,75
8/p1b5/5p2/1P3P2/P3p2k/4K3/8/8,False,0.0,5.0,2113,5,76
8/p1b5/5p2/1P3P2/P3p1k1/4K3/8/8,True,0.0,0.0,2083,5,77
8/p1b5/5p2/1P3P2/P3K1k1/8/8/8,False,0.0,2.0,2113,5,78
8/p1b5/5p2/1P3Pk1/P3K3/8/8/8,True,0.0,15.0,2083,5,79
8/p1b5/5p2/1P1K1Pk1/P7/8/8/8,False,0.0,1.0,2113,5,80
8/p1b5/5p2/1P1K1k2/P7/8/8/8,True,0.0,1.0,2083,5,81
8/p1b5/2K2p2/1P3k2/P7/8/8/8,False,0.0,2.0,2113,5,82
8/p7/1bK2p2/1P3k2/P7/8/8/8,True,0.0,2.0,2083,5,83
8/pK6/1b3p2/1P3k2/P7/8/8/8,False,0.0,1.0,2113,5,84
8/pK6/1b2kp2/1P6/P7/8/8/8,True,0.0,0.0,2083,5,85
8/p7/Kb2kp2/1P6/P7/8/8/8,False,0.0,4.0,2113,2,86
8/p7/Kb2k3/1P3p2/P7/8/8/8,True,0.0,0.0,2083,2,87
8/p7/Kb2k3/PP3p2/8/8/8/8,False,0.0,1.0,2113,2,88
8/p7/K3k3/PP3p2/3b4/8/8/8,True,0.0,9.0,2083,2,89
8/p7/KP2k3/P4p2/3b4/8/8/8,False,0.001,1.0,2113,5,90
8/8/Kp2k3/P4p2/3b4/8/8/8,True,0.0,0.0,2083,4,91
8/8/KP2k3/5p2/3b4/8/8/8,False,0.0,3.0,2113,5,92
8/8/Kb2k3/5p2/8/8/8/8,True,0.0,1.0,2083,3,93
8/8/1K2k3/5p2/8/8/8/8,False,0.0,2.0,2113,5,94
8/8/1K6/4kp2/8/8/8/8,True,0.0,1.0,2083,5,95
8/8/8/2K1kp2/8/8/8/8,False,0.0,0.0,2113,5,96
8/8/8/2K2p2/4k3/8/8/8,True,0.0,1.0,2083,5,97
8/8/8/5p2/2K1k3/8/8/8,False,0.0,1.0,2113,5,98
8/8/8/5p2/2K5/4k3/8/8,True,0.0,1.0,2083,5,99
8/8/8/5p2/8/2K1k3/8/8,False,0.0,1.0,2113,5,100
8/8/8/8/5p2/2K1k3/8/8,True,0.0,0.0,2083,5,101
8/8/8/8/5p2/4k3/2K5/8,False,0.0,0.0,2113,5,102
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,False,0.0,,2062,5,2
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR,True,0.0,1.0,2148,5,3
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR,False,0.188,1.0,2062,5,4
